학생ID,이름,학기,국어_중간고사,국어_기말고사,수학_중간고사,수학_기말고사,영어_중간고사,영어_기말고사,과학_중간고사,과학_기말고사
96,정서준,2,92,90,73,83,71,84,70,63
96,정서준,3,78,67,80,85,64,73,63,98
96,정서준,4,69,76,92,79,98,98,70,82
96,정서준,5,60,68,69,67,63,62,87,77
96,정서준,6,85,74,80,71,68,62,96,86
97,장수아,1,72,65,68,78,65,98,70,76
97,장수아,2,62,86,70,63,75,79,72,81
97,장수아,3,71,86,62,78,74,74,82,96
97,장수아,4,100,86,81,97,78,88,80,100
97,장수아,5,93,72,95,88,88,90,89,93
97,장수아,6,85,90,62,86,62,70,91,97
98,박하은,1,88,70,100,65,84,61,78,99
98,박하은,2,93,71,63,91,88,83,93,84
98,박하은,3,98,94,91,71,93,69,66,63
98,박하은,4,96,65,60,62,72,62,69,97
98,박하은,5,84,67,84,95,98,72,67,99
98,박하은,6,90,81,93,62,90,94,89,76
99,윤하은,1,70,93,83,71,70,63,87,76
99,윤하은,2,89,96,62,98,76,94,82,66
99,윤하은,3,100,80,87,97,62,98,100,93
99,윤하은,4,69,75,81,62,83,89,89,63
99,윤하은,5,61,68,97,60,66,71,82,93
99,윤하은,6,79,65,97,69,66,79,67,65
100,이하은,1,91,64,67,82,99,75,81,73
100,이하은,2,73,63,96,90,63,87,67,64
100,이하은,3,80,92,92,81,84,88,60,99
100,이하은,4,76,78,89,65,99,63,98,75
100,이하은,5,75,90,76,82,92,94,69,63
100,이하은,6,64,79,97,63,73,100,76,72
101,장예준,1,76,89,75,97,91,71,84,93
101,장예준,2,79,69,97,68,72,75,89,61
101,장예준,3,62,66,96,70,86,97,79,71
101,장예준,4,75,77,99,74,100,85,74,79
101,장예준,5,96,84,90,79,83,71,88,65
101,장예준,6,69,62,86,64,82,85,65,79
102,최예준,1,71,89,90,63,72,87,77,83
102,최예준,2,72,84,61,69,66,84,68,92
102,최예준,3,65,64,68,100,63,62,91,80
102,최예준,4,75,86,67,99,71,66,90,81
102,최예준,5,80,70,96,77,68,85,72,65
102,최예준,6,79,100,89,87,87,75,78,80
103,최도윤,1,89,60,60,96,95,95,81,60
103,최도윤,2,98,62,63,100,79,70,71,86
103,최도윤,3,80,77,61,77,69,85,83,84
103,최도윤,4,95,75,90,74,62,62,76,88
103,최도윤,5,64,85,84,78,74,60,79,75
103,최도윤,6,85,68,69,77,79,81,98,73
104,임지우,1,80,80,94,91,76,97,67,70
104,임지우,2,91,66,74,89,75,80,84,99
104,임지우,3,82,73,80,95,88,78,66,62
104,임지우,4,76,96,65,77,92,70,74,67
104,임지우,5,69,94,97,74,79,76,64,82
104,임지우,6,82,89,79,90,61,84,86,79
105,최민준,1,82,64,63,68,69,87,78,87
105,최민준,2,80,85,75,68,61,87,96,80
105,최민준,3,77,97,75,100,72,78,61,80
105,최민준,4,85,64,100,93,99,86,71,82
105,최민준,5,85,88,75,74,97,82,73,89
105,최민준,6,81,90,79,85,80,95,78,61
106,강하은,1,86,69,91,99,74,76,73,75
106,강하은,2,77,76,65,64,67,66,72,92
106,강하은,3,69,65,85,75,80,68,65,84
106,강하은,4,81,61,74,81,97,73,100,68
106,강하은,5,73,65,97,98,85,64,93,75
106,강하은,6,67,95,76,100,60,98,96,91
107,윤수아,1,63,65,60,96,84,88,70,67
107,윤수아,2,71,88,90,98,78,81,95,74
107,윤수아,3,68,90,64,85,97,74,83,100
107,윤수아,4,63,77,61,89,71,89,82,69
107,윤수아,5,67,61,77,82,93,80,75,90
107,윤수아,6,75,92,93,88,64,87,82,95
108,윤서준,1,90,98,100,87,80,87,89,100
108,윤서준,2,82,73,86,72,75,91,77,88
108,윤서준,3,94,88,84,60,80,81,82,92
108,윤서준,4,69,100,98,90,96,64,80,96
108,윤서준,5,62,75,60,60,72,89,82,91
108,윤서준,6,95,79,94,84,90,64,67,91
109,최예준,1,66,73,70,89,94,65,99,68
109,최예준,2,86,68,100,66,85,70,80,78
109,최예준,3,96,75,86,100,64,93,89,89
109,최예준,4,76,90,90,68,66,82,82,73
109,최예준,5,80,98,74,72,70,63,84,73
109,최예준,6,85,84,74,87,88,62,88,100
110,박은서,1,95,60,76,93,96,84,63,94
110,박은서,2,100,71,100,97,98,100,86,89
110,박은서,3,84,77,64,76,72,63,69,64
110,박은서,4,62,69,98,64,94,74,77,92
110,박은서,5,99,100,72,90,84,96,97,74
110,박은서,6,82,99,82,78,90,61,80,71
111,김도윤,1,82,61,67,62,73,82,71,69
111,김도윤,2,100,98,60,71,82,100,68,97
111,김도윤,3,92,85,85,89,90,97,83,68
111,김도윤,4,80,94,79,98,77,79,98,69
111,김도윤,5,72,100,98,67,76,91,69,68
111,김도윤,6,68,64,79,95,81,64,74,91
112,강민준,1,64,86,63,91,81,75,92,75
112,강민준,2,88,85,71,100,99,84,99,98
112,강민준,3,68,76,72,83,74,83,83,75
112,강민준,4,89,89,72,82,64,85,91,70
112,강민준,5,71,69,82,83,100,94,77,96
112,강민준,6,71,89,77,67,94,91,64,84
113,임도윤,1,63,73,96,78,91,96,99,100
113,임도윤,2,93,84,76,86,91,61,72,77
113,임도윤,3,72,74,96,83,76,81,88,69
113,임도윤,4,82,66,95,99,99,87,97,87
113,임도윤,5,69,99,84,100,73,61,91,77
113,임도윤,6,82,97,66,73,71,82,85,89
114,임예준,1,100,94,65,82,96,67,70,82
114,임예준,2,65,96,63,86,94,71,76,93
114,임예준,3,71,69,61,62,74,91,84,90
114,임예준,4,86,98,98,89,92,92,87,63
114,임예준,5,97,70,89,96,66,90,86,97
114,임예준,6,69,95,88,66,99,98,62,86
115,임민준,1,62,75,75,91,78,89,95,98
115,임민준,2,89,68,82,82,61,76,96,70
115,임민준,3,64,98,69,100,62,72,96,90
115,임민준,4,92,87,66,81,73,69,74,85
115,임민준,5,82,76,71,100,76,76,81,65
115,임민준,6,75,98,96,87,64,94,80,86
116,장서연,1,94,71,95,87,100,81,83,61
116,장서연,2,62,89,91,77,66,92,85,91
116,장서연,3,60,60,71,78,75,78,71,76
116,장서연,4,70,85,91,97,97,73,85,74
116,장서연,5,77,90,89,64,63,66,67,88
116,장서연,6,83,80,62,95,77,70,78,77
117,윤지민,1,75,97,69,63,79,66,62,90
117,윤지민,2,71,60,89,80,70,73,84,82
117,윤지민,3,99,95,97,64,72,86,73,98
117,윤지민,4,89,79,80,98,80,71,89,79
117,윤지민,5,74,96,97,76,87,77,92,81
117,윤지민,6,72,64,67,84,62,72,74,89
118,강서준,1,81,73,92,89,85,83,75,94
118,강서준,2,79,92,73,81,89,62,88,66
118,강서준,3,99,82,86,80,95,80,79,66
118,강서준,4,70,76,100,95,100,65,66,87
118,강서준,5,75,73,95,81,94,71,81,82
118,강서준,6,97,92,95,83,61,82,63,62
119,장도윤,1,79,63,61,92,79,75,75,82
119,장도윤,2,87,98,78,60,71,85,65,78
119,장도윤,3,83,99,71,95,62,63,95,93
119,장도윤,4,74,73,88,70,98,65,90,99
119,장도윤,5,91,69,94,81,99,90,100,94
119,장도윤,6,81,74,75,68,95,81,94,95
120,윤하은,1,65,76,81,93,67,96,96,87
120,윤하은,2,83,91,93,70,89,91,67,97
120,윤하은,3,82,61,95,77,81,78,66,88
120,윤하은,4,86,90,68,87,85,98,98,64
120,윤하은,5,96,89,89,77,93,77,97,72
120,윤하은,6,99,77,80,63,85,70,92,92
121,이민준,1,95,100,83,88,89,96,79,98
121,이민준,2,84,60,84,68,78,76,95,95
121,이민준,3,85,92,60,66,86,71,71,81
121,이민준,4,69,100,95,71,97,90,82,92
121,이민준,5,61,73,81,89,83,74,63,63
121,이민준,6,85,63,69,61,79,69,94,78
122,박예준,1,87,68,73,81,81,71,94,92
122,박예준,2,70,79,100,96,61,88,95,67
122,박예준,3,75,70,63,63,73,78,61,78
122,박예준,4,100,86,66,99,96,86,71,96
122,박예준,5,70,96,72,76,71,77,68,77
122,박예준,6,64,76,65,65,82,62,89,95
123,윤서연,1,80,96,67,71,85,90,64,65
123,윤서연,2,97,82,79,99,69,60,94,87
123,윤서연,3,80,69,96,73,68,71,97,66
123,윤서연,4,75,64,94,62,97,70,69,95
123,윤서연,5,94,94,100,61,78,75,93,73
123,윤서연,6,95,95,96,100,85,99,71,94
124,강수아,1,100,98,84,95,76,88,60,77
124,강수아,2,76,69,63,93,80,92,86,92
124,강수아,3,68,61,87,69,94,85,63,61
124,강수아,4,96,79,99,86,65,75,68,70
124,강수아,5,65,98,86,80,99,63,98,99
124,강수아,6,77,93,61,73,98,83,99,84
125,박지우,1,71,91,97,65,100,84,83,63
125,박지우,2,95,62,72,75,73,83,98,88
125,박지우,3,79,80,78,64,74,94,64,100
125,박지우,4,100,98,87,71,86,82,83,94
125,박지우,5,79,86,99,90,91,86,84,95
125,박지우,6,65,65,97,91,78,95,87,64
126,장서준,1,66,90,68,62,96,78,79,77
126,장서준,2,88,77,70,63,96,87,83,94
126,장서준,3,72,62,93,86,71,65,61,64
126,장서준,4,94,76,69,87,95,75,71,93
126,장서준,5,73,65,98,71,90,80,69,94
126,장서준,6,91,69,67,82,80,85,87,66
127,임지우,1,98,95,67,89,74,85,81,81
127,임지우,2,98,75,75,95,72,70,82,79
127,임지우,3,100,86,74,95,100,99,68,94
127,임지우,4,72,80,97,72,70,80,76,92
127,임지우,5,81,72,60,74,96,74,82,83
127,임지우,6,83,79,63,94,75,83,98,100
128,조하은,1,74,62,75,85,98,66,69,65
128,조하은,2,97,68,80,77,75,91,80,92
128,조하은,3,92,76,95,78,62,91,84,60
128,조하은,4,98,74,97,79,78,76,72,85
128,조하은,5,67,82,73,74,91,91,66,71
128,조하은,6,74,83,72,95,98,72,92,63
129,강서준,1,61,74,67,83,100,69,64,100
129,강서준,2,61,79,94,95,91,90,95,98
129,강서준,3,65,74,63,75,90,63,71,60
129,강서준,4,63,64,71,96,83,79,88,71
129,강서준,5,72,67,93,100,79,75,82,66
129,강서준,6,62,83,78,64,97,99,100,64
130,강도윤,1,84,63,65,69,62,78,92,97
130,강도윤,2,82,67,66,64,61,92,72,60
130,강도윤,3,80,69,99,64,86,86,80,93
130,강도윤,4,91,89,79,90,61,70,63,63
130,강도윤,5,90,81,72,89,84,97,82,95
130,강도윤,6,97,99,99,62,89,70,68,78
131,이서연,1,82,66,61,61,62,69,88,85
131,이서연,2,87,73,100,83,69,86,93,64
131,이서연,3,71,96,74,87,80,81,61,60
131,이서연,4,77,88,87,66,62,82,74,72
131,이서연,5,100,83,93,61,99,94,84,93
131,이서연,6,90,73,88,89,86,79,67,76
132,윤수아,1,74,77,75,73,91,71,85,86
132,윤수아,2,67,87,87,72,82,87,84,90
132,윤수아,3,64,77,81,88,79,95,62,66
132,윤수아,4,82,83,91,62,77,80,100,71
132,윤수아,5,95,84,67,67,96,99,91,68
132,윤수아,6,89,86,61,64,66,84,66,90
133,장도윤,1,97,86,82,62,61,72,91,93
133,장도윤,2,89,97,78,95,90,63,84,89
133,장도윤,3,76,80,91,79,83,80,94,96
133,장도윤,4,91,68,62,91,88,71,84,87
133,장도윤,5,69,98,94,86,90,79,83,65
133,장도윤,6,73,61,92,73,91,74,85,64
134,최수아,1,73,85,82,71,96,88,89,67
134,최수아,2,93,70,77,68,100,63,89,63
134,최수아,3,86,75,90,87,97,99,60,66
134,최수아,4,100,93,68,76,80,87,87,69
134,최수아,5,88,93,78,97,96,79,70,63
134,최수아,6,95,96,60,69,62,85,96,81
135,강지우,1,74,94,93,69,72,79,64,94
135,강지우,2,63,61,83,82,70,73,84,77
135,강지우,3,99,70,75,87,75,90,95,63
135,강지우,4,79,99,64,100,85,74,93,96
135,강지우,5,91,84,90,93,80,82,61,61
135,강지우,6,90,82,62,92,97,78,71,95
136,박예준,1,97,94,84,63,62,89,99,69
136,박예준,2,84,100,97,90,73,80,95,77
136,박예준,3,93,80,94,91,98,82,63,94
136,박예준,4,70,81,85,68,77,66,64,89
136,박예준,5,82,75,69,61,89,65,79,60
136,박예준,6,84,78,89,100,81,96,97,74
137,박민준,1,70,89,79,66,82,81,91,82
137,박민준,2,72,100,73,68,65,64,80,80
137,박민준,3,100,85,79,85,72,81,95,75
137,박민준,4,78,90,96,92,67,61,97,62
137,박민준,5,95,75,81,85,90,70,90,65
137,박민준,6,63,81,100,77,71,98,61,93
138,박하은,1,79,62,99,72,87,83,81,100
138,박하은,2,98,74,86,71,99,61,90,93
138,박하은,3,60,65,77,90,63,77,81,72
138,박하은,4,80,70,68,89,84,78,80,82
138,박하은,5,70,60,70,83,95,89,78,77
138,박하은,6,65,79,70,62,81,77,78,84
139,조수아,1,61,65,64,78,63,94,65,67
139,조수아,2,74,78,61,86,75,77,75,67
139,조수아,3,92,65,76,94,67,68,64,81
139,조수아,4,83,63,87,69,91,85,64,65
139,조수아,5,60,96,80,77,80,67,88,73
139,조수아,6,83,61,60,69,63,80,73,63
140,임수아,1,82,65,69,79,79,82,62,88
140,임수아,2,69,85,73,82,66,62,73,68
140,임수아,3,80,77,91,93,74,74,88,92
140,임수아,4,63,97,75,82,65,93,99,79
140,임수아,5,72,68,84,88,83,85,96,61
140,임수아,6,83,97,72,82,80,80,63,62
141,윤도윤,1,62,66,77,78,67,80,76,63
141,윤도윤,2,88,87,77,79,99,60,94,92
141,윤도윤,3,66,62,69,85,77,70,97,79
141,윤도윤,4,61,76,86,81,87,82,90,96
141,윤도윤,5,71,60,90,64,100,81,94,60
141,윤도윤,6,86,61,100,68,64,73,60,61
142,김민준,1,74,98,73,99,98,76,61,99
142,김민준,2,87,89,77,78,62,75,70,97
142,김민준,3,87,84,95,79,80,61,90,70
142,김민준,4,64,100,83,80,96,84,84,69
142,김민준,5,75,67,96,71,76,93,86,99
142,김민준,6,87,66,89,61,72,92,78,94
143,이서준,1,63,81,77,89,81,88,91,86
143,이서준,2,68,85,88,68,95,77,91,94
143,이서준,3,77,83,85,86,94,84,75,96
143,이서준,4,71,90,92,64,89,60,86,90
143,이서준,5,84,86,93,84,95,71,89,61
143,이서준,6,89,64,80,65,90,81,78,61
144,강지민,1,70,64,100,71,84,93,69,63
144,강지민,2,61,63,61,68,94,65,86,92
144,강지민,3,91,73,97,68,78,90,69,80
144,강지민,4,93,90,85,93,77,67,64,93
144,강지민,5,79,66,74,97,76,89,76,76
144,강지민,6,99,74,83,92,71,97,88,98
145,임서연,1,83,61,83,66,75,90,85,91
145,임서연,2,63,86,85,98,76,83,63,78
145,임서연,3,64,75,73,94,61,64,72,64
145,임서연,4,90,80,77,77,83,64,74,96
145,임서연,5,83,98,89,63,96,74,69,79
145,임서연,6,67,95,81,84,67,65,92,71
146,김지민,1,87,80,89,86,90,95,73,74
146,김지민,2,83,80,78,100,84,92,99,76
146,김지민,3,86,65,85,76,63,70,100,64
146,김지민,4,88,67,62,75,65,82,100,77
146,김지민,5,79,83,67,76,83,69,61,76
146,김지민,6,61,100,84,76,99,65,61,84
147,윤서준,1,95,62,77,77,94,77,63,81
147,윤서준,2,94,79,80,81,90,78,65,65
147,윤서준,3,93,97,69,63,95,81,96,72
147,윤서준,4,73,85,88,61,85,87,80,94
147,윤서준,5,80,84,91,75,67,82,93,68
147,윤서준,6,68,77,89,76,92,98,94,68
148,이지민,1,63,100,80,87,85,87,89,69
148,이지민,2,66,91,94,71,66,100,94,60
148,이지민,3,77,86,89,67,63,67,87,99
148,이지민,4,69,85,68,94,100,80,99,70
148,이지민,5,69,76,93,72,89,87,92,93
148,이지민,6,98,79,77,83,86,62,77,96
149,최도윤,1,71,96,75,63,87,82,68,96
149,최도윤,2,62,90,68,99,84,100,80,80
149,최도윤,3,90,98,98,60,100,89,61,66
149,최도윤,4,93,64,64,72,69,87,85,67
149,최도윤,5,96,97,100,63,78,100,79,79
149,최도윤,6,84,98,85,63,76,96,74,90
150,조하은,1,75,61,67,80,81,68,82,93
150,조하은,2,62,81,92,100,71,68,81,91
150,조하은,3,61,98,94,75,83,85,84,77
150,조하은,4,69,91,69,70,90,99,67,92
150,조하은,5,62,67,79,98,96,84,79,89
150,조하은,6,84,93,71,72,99,100,75,86
151,조수아,1,66,67,60,97,67,86,69,93
151,조수아,2,81,82,97,85,85,78,75,81
151,조수아,3,93,66,75,70,92,71,69,81
151,조수아,4,89,71,92,81,80,87,88,71
151,조수아,5,83,70,95,97,100,92,82,66
151,조수아,6,60,88,82,80,96,83,98,64
152,강예준,1,76,69,64,66,68,66,63,79
152,강예준,2,100,91,67,81,69,87,65,74
152,강예준,3,83,77,60,89,76,83,70,68
152,강예준,4,68,92,89,61,95,66,80,98
152,강예준,5,95,88,87,89,100,66,76,92
152,강예준,6,96,98,85,97,71,61,97,79
153,최서준,1,81,88,87,77,83,87,83,97
153,최서준,2,71,93,85,78,94,62,95,94
153,최서준,3,79,83,88,74,77,66,77,88
153,최서준,4,98,69,73,80,71,97,93,66
153,최서준,5,83,61,80,76,84,81,76,62
153,최서준,6,75,67,71,74,72,71,89,66
154,조지민,1,83,84,100,98,71,78,100,83
154,조지민,2,89,85,94,95,61,72,84,73
154,조지민,3,64,63,98,82,73,99,100,87
154,조지민,4,79,96,78,90,71,91,98,60
154,조지민,5,91,68,69,81,92,87,75,64
154,조지민,6,67,92,62,70,83,83,98,68
155,김예준,1,65,78,72,66,78,94,83,99
155,김예준,2,66,88,99,75,80,82,98,95
155,김예준,3,65,75,61,93,89,100,60,90
155,김예준,4,73,74,98,96,72,67,98,69
155,김예준,5,81,76,80,90,100,96,67,86
155,김예준,6,93,95,61,98,62,61,80,90
156,이은서,1,61,88,97,83,63,65,94,79
156,이은서,2,86,66,96,85,89,99,98,60
156,이은서,3,71,76,98,93,92,89,60,95
156,이은서,4,81,83,90,72,60,65,82,81
156,이은서,5,62,99,99,69,89,94,77,99
156,이은서,6,91,86,92,73,80,98,67,71
157,최하은,1,61,97,73,66,86,69,78,97
157,최하은,2,69,80,84,64,68,80,87,60
157,최하은,3,84,83,89,63,85,86,82,81
157,최하은,4,73,79,62,71,81,63,92,72
157,최하은,5,96,76,75,80,88,95,70,81
157,최하은,6,85,74,73,94,69,74,65,79
158,박하은,1,66,73,78,73,83,99,99,66
158,박하은,2,60,93,84,72,70,68,64,96
158,박하은,3,69,87,70,91,65,63,68,92
158,박하은,4,68,63,85,69,92,90,73,88
158,박하은,5,96,94,69,69,66,75,87,66
158,박하은,6,63,82,87,69,69,99,75,94
159,강도윤,1,60,82,83,99,75,95,86,75
159,강도윤,2,84,85,62,72,62,75,62,89
159,강도윤,3,68,70,67,75,82,93,87,92
159,강도윤,4,74,86,60,86,60,75,72,84
159,강도윤,5,100,98,72,62,98,86,65,82
159,강도윤,6,76,68,75,89,67,93,86,97
160,최서준,1,61,92,86,75,66,85,97,80
160,최서준,2,66,95,81,68,96,96,76,61
160,최서준,3,89,95,75,73,84,100,63,84
160,최서준,4,98,90,67,80,99,85,98,69
160,최서준,5,82,93,63,72,96,79,84,94
160,최서준,6,86,65,77,89,82,60,80,74
161,박예준,1,65,61,78,63,73,95,76,91
161,박예준,2,72,65,93,88,89,75,76,76
161,박예준,3,85,87,72,62,72,67,68,93
161,박예준,4,77,78,80,98,91,80,66,70
161,박예준,5,60,89,75,90,93,82,98,95
161,박예준,6,68,93,86,85,82,97,97,90
162,김서연,1,88,74,82,87,87,75,86,82
162,김서연,2,67,67,74,65,84,94,63,76
162,김서연,3,69,84,86,68,64,84,68,85
162,김서연,4,81,73,82,76,89,83,76,90
162,김서연,5,60,64,73,64,87,81,83,86
162,김서연,6,76,78,74,86,67,81,62,97
163,윤예준,1,85,93,71,63,66,88,71,74
163,윤예준,2,98,72,94,94,61,85,60,98
163,윤예준,3,85,69,84,69,99,61,99,80
163,윤예준,4,61,77,67,91,100,75,93,68
163,윤예준,5,65,60,62,70,72,93,91,63
163,윤예준,6,91,93,70,100,84,66,68,87
164,임지우,1,89,80,94,90,86,83,73,94
164,임지우,2,67,66,62,88,60,79,75,95
164,임지우,3,97,74,66,90,70,86,99,69
164,임지우,4,90,68,89,91,65,73,67,76
164,임지우,5,81,97,88,78,73,84,91,87
164,임지우,6,60,73,94,71,77,81,68,73
165,최지우,1,70,82,77,96,66,80,80,74
165,최지우,2,70,83,76,88,82,88,66,89
165,최지우,3,82,60,98,80,64,60,91,64
165,최지우,4,72,98,89,89,85,64,88,62
165,최지우,5,73,88,99,92,79,65,85,70
165,최지우,6,84,60,62,71,67,78,75,66
166,장예준,1,95,66,61,96,65,82,79,92
166,장예준,2,86,74,83,96,65,63,63,76
166,장예준,3,83,75,98,99,66,94,71,100
166,장예준,4,63,87,96,85,71,76,93,65
166,장예준,5,89,91,98,86,78,66,61,91
166,장예준,6,65,88,94,63,63,64,67,89
167,이도윤,1,100,69,68,90,65,92,63,89
167,이도윤,2,67,87,89,96,85,68,77,61
167,이도윤,3,66,82,87,95,90,81,100,83
167,이도윤,4,96,73,71,97,90,97,81,82
167,이도윤,5,65,97,82,81,81,82,86,86
167,이도윤,6,60,76,82,97,95,84,96,84
168,정수아,1,65,83,85,71,92,62,71,97
168,정수아,2,84,89,94,82,80,69,95,94
168,정수아,3,85,94,86,84,96,96,66,81
168,정수아,4,93,89,73,76,64,86,77,92
168,정수아,5,86,93,86,93,93,86,90,77
168,정수아,6,67,85,87,100,95,96,83,66
169,최민준,1,94,67,82,86,63,64,72,88
169,최민준,2,93,73,77,79,77,80,74,90
169,최민준,3,97,88,74,90,64,97,90,80
169,최민준,4,76,80,70,90,89,89,63,66
169,최민준,5,78,99,61,70,70,77,60,96
169,최민준,6,77,92,100,96,98,67,93,74
170,윤도윤,1,73,86,93,65,82,63,61,72
170,윤도윤,2,80,80,84,79,99,67,87,98
170,윤도윤,3,70,94,74,77,97,86,92,84
170,윤도윤,4,64,67,62,63,96,83,71,85
170,윤도윤,5,97,76,70,77,67,65,71,81
170,윤도윤,6,76,72,70,69,69,78,63,73
171,최하은,1,83,88,95,81,82,89,72,85
171,최하은,2,81,94,95,67,94,88,71,90
171,최하은,3,61,84,86,82,83,67,66,75
171,최하은,4,97,89,87,67,63,98,72,76
171,최하은,5,68,84,88,71,62,65,88,96
171,최하은,6,86,80,74,69,89,99,92,84
172,박지우,1,90,77,96,76,62,91,96,60
172,박지우,2,76,85,78,61,65,71,78,72
172,박지우,3,84,93,67,93,61,87,61,71
172,박지우,4,85,88,73,89,67,70,98,73
172,박지우,5,97,82,60,79,95,72,64,73
172,박지우,6,85,92,69,99,91,89,70,65
173,김수아,1,72,99,88,95,84,84,87,87
173,김수아,2,67,68,99,81,95,69,77,72
173,김수아,3,97,96,83,85,61,86,73,61
173,김수아,4,86,100,83,60,74,94,64,60
173,김수아,5,97,62,89,64,67,65,94,94
173,김수아,6,86,69,75,68,84,84,61,96
174,조은서,1,90,77,69,97,76,87,88,76
174,조은서,2,64,90,60,69,61,67,87,60
174,조은서,3,87,79,70,70,75,100,95,85
174,조은서,4,89,71,81,79,76,70,65,88
174,조은서,5,64,96,94,75,85,67,82,89
174,조은서,6,81,77,70,71,62,95,87,75
175,장지우,1,80,76,86,74,64,73,87,68
175,장지우,2,70,66,63,73,79,74,84,67
175,장지우,3,67,99,64,79,91,81,61,79
175,장지우,4,81,96,72,85,76,73,78,61
175,장지우,5,85,70,80,78,87,95,79,92
175,장지우,6,62,71,65,85,85,75,64,82
176,김하은,1,100,62,89,94,78,93,62,79
176,김하은,2,81,80,82,73,62,69,65,98
176,김하은,3,98,98,68,94,65,64,81,72
176,김하은,4,96,74,71,71,100,77,62,77
176,김하은,5,60,70,76,66,60,68,93,87
176,김하은,6,85,74,66,66,96,75,96,75
177,장서연,1,79,74,64,77,97,71,73,89
177,장서연,2,86,70,72,90,76,93,74,95
177,장서연,3,73,69,63,81,84,77,99,94
177,장서연,4,69,98,73,76,60,64,91,86
177,장서연,5,84,87,88,93,89,83,87,62
177,장서연,6,98,89,73,83,90,80,95,89
178,최도윤,1,65,63,85,91,94,80,68,66
178,최도윤,2,85,64,68,65,95,71,80,64
178,최도윤,3,70,72,98,65,77,69,86,70
178,최도윤,4,62,92,90,84,63,69,95,60
178,최도윤,5,99,70,85,68,78,60,75,96
178,최도윤,6,91,79,62,65,62,84,67,97
179,조서준,1,100,61,78,99,66,73,96,74
179,조서준,2,94,63,80,65,73,78,60,96
179,조서준,3,74,71,85,62,96,86,69,79
179,조서준,4,71,94,92,91,68,64,63,67
179,조서준,5,81,79,63,95,62,98,89,99
179,조서준,6,61,69,89,85,80,94,83,91
180,장예준,1,78,81,93,98,64,97,65,100
180,장예준,2,63,77,65,88,89,63,93,65
180,장예준,3,79,80,75,97,64,78,77,79
180,장예준,4,67,79,65,84,71,75,70,77
180,장예준,5,74,70,65,89,90,100,76,62
180,장예준,6,93,78,72,98,67,92,99,62
181,이지우,1,84,81,60,84,60,99,64,88
181,이지우,2,71,99,92,91,82,76,94,67
181,이지우,3,61,69,60,60,79,76,64,90
181,이지우,4,71,76,79,94,79,62,92,87
181,이지우,5,64,84,90,97,85,100,66,96
181,이지우,6,90,96,94,99,81,99,93,93
182,최하은,1,70,73,75,90,66,76,90,92
182,최하은,2,69,65,71,62,90,99,74,99
182,최하은,3,83,66,97,73,64,96,91,76
182,최하은,4,80,64,72,62,76,90,85,67
182,최하은,5,96,74,70,97,78,93,67,98
182,최하은,6,71,74,63,66,79,91,80,89
183,강서준,1,65,100,94,61,75,87,67,80
183,강서준,2,63,76,100,78,90,62,83,98
183,강서준,3,67,89,88,92,74,71,95,94
183,강서준,4,63,96,60,82,63,87,93,83
183,강서준,5,100,95,76,74,87,91,94,74
183,강서준,6,90,82,68,79,87,80,80,66
184,박서연,1,95,79,93,88,98,100,80,89
184,박서연,2,94,73,69,81,85,99,68,99
184,박서연,3,70,65,98,74,96,69,85,97
184,박서연,4,100,76,98,65,93,60,98,67
184,박서연,5,61,73,79,99,95,77,71,97
184,박서연,6,88,75,76,79,91,89,82,68
185,임민준,1,81,90,84,85,83,85,73,60
185,임민준,2,99,82,70,64,68,64,78,93
185,임민준,3,98,70,83,84,79,86,70,87
185,임민준,4,71,68,94,90,72,66,90,83
185,임민준,5,79,67,78,69,78,64,91,62
185,임민준,6,100,86,75,78,68,99,73,97
186,박예준,1,82,91,100,81,84,96,71,93
186,박예준,2,81,63,69,87,73,72,88,90
186,박예준,3,79,98,75,65,76,79,67,64
186,박예준,4,99,86,99,75,63,82,91,100
186,박예준,5,83,67,92,93,68,80,63,86
186,박예준,6,92,97,76,99,86,71,93,68
187,강수아,1,64,93,95,69,93,90,75,88
187,강수아,2,82,82,86,100,96,61,79,83
187,강수아,3,99,78,64,73,72,79,68,67
187,강수아,4,65,73,74,94,75,90,62,94
187,강수아,5,67,74,82,81,65,94,66,60
187,강수아,6,89,72,79,86,98,70,96,92
188,박서준,1,60,71,76,75,72,86,67,100
188,박서준,2,64,75,99,64,80,90,89,64
188,박서준,3,65,68,80,77,100,63,74,74
188,박서준,4,90,82,82,97,67,63,82,92
188,박서준,5,84,83,75,84,97,95,61,70
188,박서준,6,78,76,99,66,82,74,79,90
189,조민준,1,92,72,63,99,71,87,72,73
189,조민준,2,72,100,90,97,94,65,86,77
189,조민준,3,63,96,76,96,67,83,94,100
189,조민준,4,95,60,96,92,82,75,92,99
189,조민준,5,81,60,92,87,63,66,60,91
189,조민준,6,72,96,88,75,96,61,84,95
190,조서연,1,74,91,66,70,68,81,98,95
190,조서연,2,88,85,78,93,100,75,81,90
190,조서연,3,79,80,64,97,92,97,89,73
190,조서연,4,78,66,76,75,64,97,62,86
190,조서연,5,60,65,88,100,97,88,72,61
190,조서연,6,60,85,60,91,85,100,91,73
191,김도윤,1,70,73,65,96,70,76,80,69
191,김도윤,2,77,89,67,99,78,71,82,95
191,김도윤,3,89,80,99,88,75,65,71,64
191,김도윤,4,69,70,81,65,89,68,81,86
191,김도윤,5,71,99,97,95,71,88,64,65
